st_code,cfra_code,major_head,year,vol,amt
10,224501911,2245,2006,3,-364.35
27,205500911,2055,2006,3,-359.89
29,240602902,2406,2005,2,-350.1
29,285100902,2851,2006,2,-349.15
33,221780911,2217,2006,3,-347.2
27,221006911,2210,2005,3,-343.76
19,270180799,2701,2005,2,-339.65
7,201500105,2015,2005,3,-334.16
40,221002911,2210,2005,3,-328.8
33,270180800,2701,2005,2,-320.67
13,224505901,2245,2005,3,-319.5
14,221501001,2215,2005,3,-308.69
27,207101910,2071,2006,3,-305.96
32,305480052,3054,2005,2,-300.14
32,305480052,3054,2006,2,-297.86
40,220400911,2204,2006,3,-285.47
9,270280799,2702,2005,2,-274.65
7,201500106,2015,2006,3,-273.52
27,207101911,2071,2005,3,-271.4
33,224502115,2245,2006,3,-262.37
40,285280911,2852,2006,2,-260.26
32,221780911,2217,2005,3,-256.56
33,270180052,2701,2005,2,-254.16
32,224502911,2245,2005,3,-247.94
32,285100911,2851,2005,2,-243.84
8,205980799,2059,2005,3,-243.17
33,221501911,2215,2005,3,-233.36
32,221780911,2217,2006,3,-232.72
33,223501902,2235,2005,3,-228.11
33,223501902,2235,2006,3,-222.94
33,288501911,2885,2006,2,-213.65
27,251500911,2515,2005,2,-208.45
27,270280799,2702,2006,2,-207.98
6,270001799,2700,2005,2,-207
19,307560797,3075,2005,2,-198.36
32,225000902,2250,2006,3,-195.03
29,240602902,2406,2006,2,-195
40,281001911,2810,2006,2,-191.03
33,251500911,2515,2006,2,-190.2
32,220202911,2202,2005,3,-189.79
14,205980799,2059,2005,3,-186.77
32,222502911,2225,2005,3,-183.66
33,224501102,2245,2006,3,-180.27
32,202900911,2029,2006,3,-172.34
32,220202911,2202,2006,3,-171.41
32,221006911,2210,2005,3,-171.41
21,270280799,2702,2006,2,-168.95
40,220500911,2205,2005,3,-154.04
40,221501799,2215,2006,3,-153.56
30,305480001,3054,2006,2,-153.35
32,220201911,2202,2006,3,-150.73
29,221705902,2217,2005,3,-150
3,305480799,3054,2005,2,-149.44
28,222501911,2225,2005,3,-147.65
32,220201911,2202,2005,3,-144.85
21,240801911,2408,2005,2,-144.83
40,240500911,2405,2005,2,-144.29
32,221100911,2211,2005,3,-142.93
32,204901911,2049,2006,3,-141.83
13,205500052,2055,2005,3,-135.61
34,257560911,2575,2006,2,-135.52
33,287560911,2875,2005,2,-131.28
40,281003911,2810,2006,2,-126.97
40,240702902,2407,2005,2,-125.68
32,223002911,2230,2005,3,-122.19
27,270180799,2701,2005,2,-120.93
33,242500911,2425,2006,2,-120.81
33,285100911,2851,2006,2,-120.2
32,222502911,2225,2006,3,-120.17
32,285100911,2851,2006,2,-119.73
32,221701911,2217,2005,3,-119.5
40,223001903,2230,2006,3,-116.08
40,221501799,2215,2005,3,-115.43
32,240601902,2406,2005,2,-112.96
34,257560911,2575,2005,2,-110.29
24,205901052,2059,2006,3,-110.25
7,207500800,2075,2006,3,-109.37
6,270002799,2700,2005,2,-108.58
33,305480799,3054,2005,2,-108
32,225000902,2250,2005,3,-107.95
10,223502911,2235,2006,3,-106.98
40,224502911,2245,2006,3,-106.8
27,220202911,2202,2006,3,-106.62
40,223001903,2230,2005,3,-105.52
21,251500911,2515,2006,2,-104.07
21,270201911,2702,2006,2,-103.64
32,204903911,2049,2006,3,-102.85
32,221680911,2216,2005,3,-102.85
32,204700911,2047,2005,3,-102.39
28,222503911,2225,2006,3,-101.07
40,220300911,2203,2005,3,-100.67
33,204904911,2049,2005,3,-100.65
33,240500911,2405,2006,2,-100
21,270080052,2700,2005,2,-99.75
40,221780911,2217,2006,3,-99.68
6,270110799,2701,2005,2,-98.93
40,223001911,2230,2006,3,-98.44
32,243501911,2435,2005,2,-98.3
3,221501799,2215,2005,3,-98.3
32,240601902,2406,2006,2,-97.67
32,204903911,2049,2005,3,-96.77
40,205901799,2059,2005,3,-95.57
9,270280799,2702,2006,2,-95.29
28,223560903,2235,2005,3,-95.17
27,205500911,2055,2005,3,-94.83
32,221001911,2210,2005,3,-94.39
32,220400911,2204,2006,3,-94.12
32,240300911,2403,2005,2,-94.1
30,240601902,2406,2005,2,-93.53
